"","Data","IPAD","Petróleo","Preço internacional dos alimentos","Taxa de câmbio","IBC","Assistência social (milhões de reais)"
"1","2012-01",0.68,107.074572263993,5.149736,1.7391,133.34,1629.60690956
"2","2012-02",-0.03,112.687523809524,4.487293,1.7092,135.35,1359.55811691
"3","2012-03",0.21,117.785,4.354738,1.8221,146.35,1758.74367352
"4","2012-04",0.62,113.6655,4.071049,1.8918,139.85,1614.4527651
"5","2012-05",0.83,104.086034255599,3.715313,2.0223,144.56,1565.16691986
"6","2012-06",0.67,90.728253968254,3.46204,2.0213,142.28,1746.99757324
"7","2012-07",0.79,96.7541125541126,3.092116,2.0499,147.46,1854.1812554
"8","2012-08",0.89,105.273636991028,3.037367,2.0372,149.91,1974.37172361
"9","2012-09",1.7,106.284964912281,2.854629,2.0306,141.6,1911.00327894
"10","2012-10",1.55,103.407865612648,2.944333,2.0313,147.71,2003.52312977
"11","2012-11",0.52,101.174415584416,3.125394,2.1074,144.15,2036.46483157
"12","2012-12",1.17,101.193666666667,3.296488,2.0435,139.52,2202.35523687
"13","2013-01",2.49,105.100216450216,3.186033,1.9883,139.32,4218.31954136
"14","2013-02",1.63,107.637435672515,3.402829,1.9754,136.14,5167.85747794
"15","2013-03",1.36,102.5225,2.96242,2.0138,148.01,4478.1032835
"16","2013-04",1.1,98.8519696969697,3.294605,2.0017,149.79,-5577.54409198
"17","2013-05",0.05,99.3666334148943,3.16534,2.1319,147.03,2118.66441152
"18","2013-06",-0.36,99.7426666666667,3.428459,2.2156,144.87,2128.29320593
"19","2013-07",-0.73,105.25790513834,3.553226,2.2903,152.13,2157.09229372
"20","2013-08",-0.34,108.157636363636,3.464348,2.3725,151.81,2108.01507129
"21","2013-09",-0.03,108.75773015873,3.405201,2.23,147.27,2107.66405352
"22","2013-10",1.07,105.427134387352,3.246754,2.2026,151.9,2181.39716401
"23","2013-11",0.41,102.62649122807,3.174078,2.3249,147.79,2147.72945166
"24","2013-12",0.79,105.481650793651,2.804774,2.3426,145.77,2325.55602699
"25","2014-01",0.9,102.096666666667,2.750036,2.4263,142.72,2200.42610536
"26","2014-02",0.22,104.826666666667,2.693951,2.3334,143.53,2173.55800459
"27","2014-03",2.43,104.04,2.950323,2.263,149.03,1932.91396308
"28","2014-04",1.52,104.866666666667,2.921684,2.236,147.69,2354.68030254
"29","2014-05",0.41,105.713333333333,3.269826,2.239,147.14,2182.46256267
"30","2014-06",-0.6,108.373333333333,3.013936,2.2025,140.88,1848.01579399
"31","2014-07",-0.51,105.226666666667,3.057133,2.2674,149.85,2894.16497923
"32","2014-08",-0.61,100.05,3.109635,2.2396,148.27,2182.59181573
"33","2014-09",0.76,95.85,3.297303,2.451,148.12,2198.63081071
"34","2014-10",0.48,86.08,3.230404,2.4442,149.7,2296.55268442
"35","2014-11",0.97,76.9933333333333,3.037447,2.5601,144.92,2586.28568544
"36","2014-12",0.96,60.7033333333333,3.268317,2.6562,145.48,2520.41965678
"37","2015-01",1.74,47.1066666666667,3.097653,2.6623,138.74,5053.23713568
"38","2015-02",0.74,54.79,3.185853,2.8782,136.56,5514.3913498
"39","2015-03",1.17,52.8266666666667,2.90644,3.208,149.49,5305.49752055
"40","2015-04",0.97,57.5433333333333,2.751438,2.9936,142.42,6526.90610012
