"","mes_cod","IPCA","IPAB","IPAD","C_IN","C_SEMI","C_IND","NC_IN","NC_SEMI","NC_IND"
"V1",2012-01-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V2",2012-02-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V3",2012-03-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V4",2012-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V5",2012-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V6",2012-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V7",2012-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V8",2012-08-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V9",2012-09-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V10",2012-10-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V11",2012-11-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V12",2012-12-01,NA,NA,NA,NA,NA,NA,NA,NA,NA
"V13",2013-01-01,6.55,11.44,12.09,14.97,8.33,9.44,40.85,13.34,14.61
"V14",2013-02-01,6.59,12.03,13.04,14.68,9.23,9.59,47.42,12.22,16.87
"V15",2013-03-01,6.61,12.98,14.43,17.55,9.06,10.51,56.61,13.59,17.97
"V16",2013-04-01,6.95,13.69,15.32,17.09,8.33,10.42,66.87,16.02,19.09
"V17",2013-05-01,6.68,13.49,14.75,17.02,7.8,9.48,64.92,16.13,19.4
"V18",2013-06-01,6.58,12.8,13.56,18.32,7.29,8.47,54.55,15.77,18.69
"V19",2013-07-01,6.53,11.79,12.16,16.06,6.83,7.8,36.23,18.62,18.37
"V20",2013-08-01,6.34,10.89,11.03,14.87,7.46,7.39,14.69,20.62,18.17
"V21",2013-09-01,6.28,10.15,10.11,16.38,7.63,6.93,-1.8,20.31,19.17
"V22",2013-10-01,6.28,9.92,9.48,15.69,7.1,6.3,0.0400000000000009,18.91,18.06
"V23",2013-11-01,6.23,9.12,8.34,14.64,4.45,5.54,6.99,15.34,17
"V24",2013-12-01,6.55,9.22,8.61,17.08,5.02,5.32,18.95,10.94,15.7
"V25",2014-01-01,6.31,9.03,8.34,19.18,5.75,5.58,17.94,6.11,14.68
"V26",2014-02-01,6.14,7.6,6.07,18.87,3.68,4.73,4.27999999999999,1.09,13.3
"V27",2014-03-01,6.46,8.07,6.87,20.7,4.38,4.93,10.83,4.86,11.04
"V28",2014-04-01,6.66,8.12,7.03,17.23,7.06,5.02,7.95999999999999,5.32,9.87
"V29",2014-05-01,6.57,7.74,6.34,12.36,9.52,5.58,-1.22,2.93,8.17
"V30",2014-06-01,6.6,7.32,5.69,8.72,11.23,6.59,-7.71,-2.41,6.96
