Código Ámbito,Ámbito,Código área (M49),Área,Código año,Año,Código Producto,Producto,Código Meses,Meses,Unidad,Valor,Símbolo,Descripción del Símbolo,Nota
"CP","Índices de Precios al Consumidor","001","Mundo","2012","2012","23013","Precios de Consumo, Indices de los alimentos (2015 = 100)","7001","Enero","","90.750535","E","Valor estimado","base year is 2015"
"CP","Índices de Precios al Consumidor","001","Mundo","2012","2012","23013","Precios de Consumo, Indices de los alimentos (2015 = 100)","7002","Febrero","","90.94882","E","Valor estimado","base year is 2015"
"CP","Índices de Precios al Consumidor","001","Mundo","2012","2012","23013","Precios de Consumo, Indices de los alimentos (2015 = 100)","7003","Marzo","","91.193012","E","Valor estimado","base year is 2015"
"CP","Índices de Precios al Consumidor","001","Mundo","2012","2012","23013","Precios de Consumo, Indices de los alimentos (2015 = 100)","7004","Abríl","","91.17705","E","Valor estimado","base year is 2015"
"CP","Índices de Precios al Consumidor","001","Mundo","2012","2012","23013","Precios de Consumo, Indices de los alimentos (2015 = 100)","7005","Mayo","","91.207254","E","Valor estimado","base year is 2015"
"CP","Índices de Precios al Consumidor","001","Mundo","2012","2012","23013","Precios de Consumo, Indices de los alimentos (2015 = 100)","7006","Junio","","91.199255","E","Valor estimado","base year is 2015"
"CP","Índices de Precios al Consumidor","001","Mundo","2012","2012","23013","Precios de Consumo, Indices de los alimentos (2015 = 100)","7007","Julio","","91.284395","E","Valor estimado","base year is 2015"
"CP","Índices de Precios al Consumidor","001","Mundo","2012","2012","23013","Precios de Consumo, Indices de los alimentos (2015 = 100)","7008","Agosto","","91.593474","E","Valor estimado","base year is 2015"
"CP","Índices de Precios al Consumidor","001","Mundo","2012","2012","23013","Precios de Consumo, Indices de los alimentos (2015 = 100)","7009","Septiembre","","91.848258","E","Valor estimado","base year is 2015"
"CP","Índices de Precios al Consumidor","001","Mundo","2012","2012","23013","Precios de Consumo, Indices de los alimentos (2015 = 100)","7010","Octubre","","92.087465","E","Valor estimado","base year is 2015"
"CP","Índices de Precios al Consumidor","001","Mundo","2012","2012","23013","Precios de Consumo, Indices de los alimentos (2015 = 100)","7011","Noviembre","","92.294992","E","Valor estimado","base year is 2015"
"CP","Índices de Precios al Consumidor","001","Mundo","2012","2012","23013","Precios de Consumo, Indices de los alimentos (2015 = 100)","7012","Diciembre","","92.864812","E","Valor estimado","base year is 2015"
"CP","Índices de Precios al Consumidor","001","Mundo","2013","2013","23013","Precios de Consumo, Indices de los alimentos (2015 = 100)","7001","Enero","","93.641877","E","Valor estimado","base year is 2015"
